article_name,author,email
https://www.nytimes.com/2020/05/11/arts/television/netflix-foreign-films.html,['Roslyn Sulcas'],[]
https://www.theguardian.com/film/2020/may/12/have-a-good-trip-drugs-netflix-donick-cary,['Charles Bramesco'],[]
https://www.forbes.com/sites/paultassi/2020/05/10/heres-what-the-walking-dead-season-10-finale-should-look-like/,error,error
https://www.bbc.co.uk/news/explainers-51376255,[],[]
https://medium.com/swlh/how-remote-patient-monitoring-will-change-healthcare-b3d7670f3a35,['Robert L. Longyear Iii'],"['u002F@robert.longyear', '9ygdqoKprhwuTVKUM0DLPA@2x.png', 'uULpIlImcO5TDuBZ6lm7Lg@2x.png', 'jEoQ@2x.png', 'healthnerd@gmail.com']"
https://www.imdb.com/title/tt10049610/,[],[]
https://www.freshviewcinemas.com/,[],"['info@freshviewcinemas.com', 'brian@freshviewcinemas.com', 'brian@freshviewcinemas.com']"
https://www.bbb.org/article/news-releases/22040-bbb-update-free-trial-offer-scams,error,error
https://about.fb.com/news/2020/05/coronavirus/,"['Kang-Xing Jin', 'Head Of Health']",[]
https://www.bloomberg.com/news/articles/2020-03-24/youtube-to-limit-video-quality-around-the-world-for-a-month,[],[]
https://www.washingtonpost.com/video-games/2020/04/17/fortnite-metaverse-new-internet/,[],"['park@washpost.com', 'readers@washpost.com', 'moore@washpost.com', 'designeds@washpost.com', 'moore@washpost.com', 'designeds@washpost.com', 'moore@washpost.com', 'park@washpost.com', 'park@washpost.com', 'park@washpost.com', 'park@washpost.com', 'park@washpost.com', 'park@washpost.com', 'park@washpost.com', 'park@washpost.com', 'hume@washpost.com', 'park@washpost.com', 'park@washpost.com', 'park@washpost.com', 'moore@washpost.com', 'designeds@washpost.com', 'larsonv@washpost.com']"
